ID,A13_1,A13_2,A13_3,A13_4,A13_5,A13_6,AS13_1,AS13_2,AS13_3,AS13_4,AS13_5,AS13_6,W13_1,W13_2,W13_3,W13_4,W13_5,W13_6,WS13_1,WS13_2,WS13_3,WS13_4,WS13_5,WS13_6
OTU_152,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,22,36,0,4,0,0
OTU_153,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_154,18,0,39,9,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
OTU_155,0,0,0,0,0,0,0,0,22,34,0,0,0,0,0,0,0,0,22,0,0,0,0,29
OTU_156,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,22,33,18
OTU_157,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
OTU_158,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_159,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0
OTU_161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,12
OTU_162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,4,0,0
OTU_163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,31,8,21,13
OTU_164,0,0,0,0,0,0,0,0,25,30,0,0,0,0,0,0,0,0,0,0,0,0,0,14
OTU_165,0,0,0,0,0,0,9,0,23,0,6,7,0,0,0,0,0,0,41,0,15,11,0,0
OTU_166,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
OTU_167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,19,19,0,0
OTU_168,0,0,0,0,0,0,26,0,27,24,18,28,0,0,0,0,0,0,0,0,0,0,0,0
OTU_169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0
OTU_170,0,0,0,0,0,0,0,12,27,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_171,0,0,0,12,0,0,0,0,19,21,0,51,0,0,0,0,0,0,18,0,5,0,0,0
OTU_172,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0
OTU_173,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_174,0,0,0,0,0,0,0,0,0,0,25,17,0,0,0,0,0,0,0,0,14,0,17,1
OTU_175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,25,0,11
OTU_176,0,0,0,0,0,0,21,0,17,24,0,0,0,0,0,0,0,0,0,21,19,15,8,0
OTU_177,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,21,0
OTU_179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
OTU_180,23,0,0,0,9,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
OTU_181,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_182,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0
OTU_184,0,0,0,0,0,0,21,19,36,0,0,0,0,0,0,0,0,0,1,0,22,0,0,0
OTU_185,0,0,0,0,0,0,0,0,1,21,0,9,0,0,0,0,0,0,20,39,15,16,22,0
OTU_186,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_187,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_188,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,11,0,20,0,0
OTU_189,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_190,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
OTU_191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
OTU_192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
OTU_193,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_194,0,0,0,0,0,0,0,11,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU_195,0,0,0,0,0,0,0,0,0,31,0,13,0,0,0,0,0,0,0,0,0,0,0,17
OTU_196,0,0,0,0,0,0,9,0,0,18,0,13,0,0,0,0,0,0,14,0,0,0,0,0
OTU_197,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,11,0,0,0
OTU_198,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_199,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
OTU_200,17,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
OTU_201,0,0,0,0,17,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
OTU_202,10,0,0,21,19,17,0,0,0,0,0,0,44,8,0,29,42,0,0,0,0,0,0,0
OTU_203,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_204,0,0,0,0,0,0,5,0,0,17,10,9,0,0,0,0,0,0,0,0,0,0,0,0
OTU_205,0,0,0,0,0,0,0,10,12,9,9,17,0,0,0,0,0,0,0,0,0,0,0,0
OTU_206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
OTU_207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
OTU_208,0,0,0,0,0,0,0,0,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_209,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
OTU_210,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
OTU_211,0,0,0,0,0,0,0,0,10,15,12,26,0,0,0,0,0,0,0,7,0,10,0,0
OTU_212,0,0,0,0,0,0,0,0,0,14,10,16,0,0,0,0,0,0,0,0,0,0,10,0
OTU_213,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
OTU_214,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_215,0,8,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_216,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,10,0,0,0
OTU_217,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,23,11,10,29,0
OTU_218,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_219,0,0,0,0,0,0,0,0,10,0,0,12,0,0,0,0,0,0,0,14,0,1,0,0
OTU_220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
OTU_221,0,0,13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
OTU_222,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
OTU_224,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,19,0,0,0
OTU_225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
OTU_226,0,0,0,3,0,0,0,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_227,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_228,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_229,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_230,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_231,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4,0
OTU_232,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
OTU_233,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
OTU_234,6,8,5,9,0,8,0,0,0,11,0,0,9,0,5,12,4,4,0,0,0,0,0,0
OTU_235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
OTU_236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
OTU_237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,12
OTU_238,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,11,0,0,0,0,12
OTU_239,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_240,0,0,0,0,0,0,0,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_241,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
OTU_243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
OTU_244,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
